EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
E1000,22,Young,No,Travel_Frequently,1269,14,1,Other,1,9186,1,Male,92,2,1,Clinical Trial Assistant,3,Single,16566,High,9036,6,Y,No,10,3,4,8,3,13,0,4,4,10,4,11
E1001,18,Middle-aged,No,Travel_Rarely,553,28,1,Life Sciences,1,8330,3,Male,70,4,4,Senior CRA,3,Married,6465,High,10114,8,Y,No,20,1,4,8,1,32,6,4,16,1,9,4
E1002,39,Senior,No,Travel_Frequently,789,8,4,Life Sciences,1,9283,1,Female,45,4,3,Clinical Trial Assistant,2,Married,4138,Low,15282,9,Y,Yes,19,1,3,8,1,0,7,3,5,0,8,12
E1003,34,Young,Yes,Travel_Frequently,1320,15,1,Life Sciences,1,3595,4,Male,60,3,3,Clinical Research Associate II,2,Single,14592,Medium,11202,8,Y,Yes,22,2,1,8,0,15,3,4,17,1,1,6
E1004,35,Middle-aged,Yes,Travel_Frequently,1375,9,4,Medical,1,8246,1,Male,47,1,2,Clinical Trial Manager,1,Divorced,19974,High,12894,4,Y,Yes,18,2,2,8,3,10,7,3,24,13,5,7
E1005,45,Middle-aged,Yes,Non-Travel,685,13,3,Technical Degree,1,7642,2,Female,28,2,1,Clinical Project Manager,4,Divorced,3373,High,17196,6,Y,No,12,3,4,8,0,38,6,2,18,9,5,4
E1006,20,Senior,No,Travel_Frequently,211,23,4,Technical Degree,1,4336,4,Male,38,1,1,Clinical Trial Manager,1,Divorced,8536,Low,2008,2,Y,No,16,3,1,8,2,27,3,2,20,4,6,2
E1007,48,Senior,Yes,Travel_Frequently,817,7,4,Life Sciences,1,4924,3,Female,52,2,3,Clinical Trial Manager,1,Married,3389,Low,5078,0,Y,Yes,19,2,2,8,0,35,9,2,6,12,7,4
E1008,41,Young,No,Non-Travel,1348,28,4,Other,1,9976,2,Male,87,4,5,Clinical Trial Assistant,4,Married,18635,Medium,17862,2,Y,No,23,1,3,8,1,22,8,4,18,10,0,6
E1009,18,Middle-aged,No,Non-Travel,929,10,1,Life Sciences,1,2747,4,Male,58,2,4,Clinical Research Associate I,4,Married,13240,Low,4747,1,Y,Yes,20,2,4,8,3,19,7,2,3,1,5,1
E1010,53,Senior,No,Travel_Rarely,591,29,4,Technical Degree,1,9763,4,Male,86,1,2,Clinical Research Associate II,3,Married,16173,Low,3324,9,Y,No,22,3,2,8,3,14,7,1,8,0,5,10
E1011,29,Middle-aged,Yes,Non-Travel,790,3,4,Other,1,9241,1,Female,87,4,2,Clinical Research Associate I,1,Single,14716,Low,1272,6,Y,No,12,2,2,8,1,24,4,4,21,1,7,9
E1012,43,Senior,Yes,Non-Travel,1178,2,1,Life Sciences,1,6204,1,Male,41,3,1,Clinical Research Associate II,3,Single,12143,High,6953,0,Y,Yes,13,1,3,8,2,24,9,4,17,2,6,4
E1013,19,Young,Yes,Travel_Frequently,450,19,2,Life Sciences,1,4038,2,Female,43,3,1,Clinical Trial Manager,3,Married,3065,Medium,2021,3,Y,Yes,20,3,2,8,2,26,0,1,21,10,0,0
E1014,52,Senior,Yes,Travel_Frequently,1082,12,4,Medical,1,1417,1,Male,80,3,4,Senior CRA,2,Married,4384,High,6814,6,Y,No,16,2,2,8,2,23,4,2,2,6,1,3
E1015,29,Middle-aged,Yes,Travel_Frequently,623,28,4,Medical,1,2404,1,Female,24,4,4,Clinical Project Manager,4,Divorced,13601,High,5712,1,Y,No,22,2,4,8,0,20,8,2,6,3,9,4
